slug,name,kind,regime,nation,appeal_body,appeal_url,official_policy_url,amount_note,deadline_note,stages_note,instrument_note,source,page
c2c,c2c,toc,national,england,appeal-service,https://www.appealservice.co.uk,https://www.c2c-online.co.uk/about-c2c/our-policies/revenue-protection-policy/,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","c2c, ""Revenue protection policy""; The Railways (Penalty Fares) Regulations 2018 (SI 2018/366); The Railways (Penalty Fares) (Amendment) Regulations 2022 (SI 2022/1094)",https://www.catoappeals.com/penalty-fares/c2c
chiltern-railways,Chiltern Railways,toc,national,england,not published,not published,https://www.chilternrailways.co.uk/customer-service/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Chiltern Railways, ""Penalty fares""; The Railways (Penalty Fares) Regulations 2018 (SI 2018/366); The Railways (Penalty Fares) (Amendment) Regulations 2022 (SI 2022/1094)",https://www.catoappeals.com/penalty-fares/chiltern-railways
great-western-railway,Great Western Railway,toc,national,england,not published,not published,https://www.gwr.com/help-and-support/penalties-and-enforcements,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","GWR, ""Penalties and enforcements""; The Railways (Penalty Fares) Regulations 2018 (SI 2018/366); The Railways (Penalty Fares) (Amendment) Regulations 2022 (SI 2022/1094)",https://www.catoappeals.com/penalty-fares/great-western-railway
great-northern,Great Northern,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.greatnorthernrail.com/help-and-support/penalty-fares/revenue-protection-policy,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Great Northern, ""Revenue protection policy""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/great-northern
thameslink,Thameslink,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,not published,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Penalty Services Ltd, notice-prefix routing (GTR umbrella); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366); The Railways (Penalty Fares) (Amendment) Regulations 2022 (SI 2022/1094)",https://www.catoappeals.com/penalty-fares/thameslink
gatwick-express,Gatwick Express,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,not published,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Penalty Services Ltd, notice-prefix routing (GTR umbrella); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366); The Railways (Penalty Fares) (Amendment) Regulations 2022 (SI 2022/1094)",https://www.catoappeals.com/penalty-fares/gatwick-express
southern,Southern,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.southernrailway.com/help-and-support/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Southern, ""Penalty fares""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/southern
southeastern,Southeastern,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.southeasternrailway.co.uk/help/support/faqs/stations/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Southeastern, penalty fares FAQ; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/southeastern
northern,Northern,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://help.northernrailway.co.uk/s/article/Penalty-Fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Northern, ""Penalty fares""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/northern
east-midlands-railway,East Midlands Railway,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.eastmidlandsrailway.co.uk/help-manage/about-us/policies/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","East Midlands Railway, ""Penalty fares""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/east-midlands-railway
greater-anglia,Greater Anglia,toc,national,england,appeal-service,https://www.appealservice.co.uk,https://www.greateranglia.co.uk/tickets-fares/penalty-fares,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Greater Anglia, ""Penalty fares""; Appeal Service (ITAL Group Ltd); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/greater-anglia
merseyrail,Merseyrail,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.merseyrail.org/about-us/penalty-fares-on-the-network/,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","Merseyrail, ""Penalty fares on the network""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/merseyrail
transpennine-express,TransPennine Express,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.tpexpress.co.uk/help/revenue-protection-policy/penalty-fare,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","TransPennine Express, ""Penalty fare""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/transpennine-express
south-western-railway,South Western Railway,toc,national,england,penalty-services,https://www.penaltyservices.co.uk/app/,https://www.southwesternrailway.com/travelling-with-us/ticket-checks-and-revenue-protection,"£100 plus the full single fare for your journey, reduced to £50 plus the single fare if paid within 21 days beginning the day after the day it was charged (reg 9(1A)). These are the England amounts - Wales differs.",Appeal at stage one within 21 days beginning the day after the day the penalty fare was charged; stages two and three within 14 days of receiving the previous decision. Each panel must decide within 21 days of receiving the appeal or you stop being liable for the penalty (reg 16(11)) - though in England the full single fare remains payable even then (reg 16(11A)).,"Three statutory stages. Regulation 15 requires every panel to be managerially and organisationally independent of any operator; the final panel is three people, none previously involved, deciding by majority.","The Railways (Penalty Fares) Regulations 2018 (SI 2018/366), as amended by SI 2022/1094 (in force 23 January 2023).","South Western Railway, ""Ticket checks and revenue protection""; Penalty Services Ltd (portal and published guidance); The Railways (Penalty Fares) Regulations 2018 (SI 2018/366)",https://www.catoappeals.com/penalty-fares/south-western-railway
