"feitcode","omschrijving","wettelijke_grondslag","artikel","tarief_2026_eur","zaken_2025","gemiddeld_bedrag_2025_eur","pagina"
"R315B","stilstaan op het trottoir, voetpad, fietspad, fiets/bromfietspad of het ruiterpad (niet de rijbaan gebruiken)","als bestuurder van een motorvoertuig niet de rijbaan gebruiken – door stil te staan op het trottoir, het voetpad, het fietspad, het fiets-/bromfietspad of het ruiterpad","10 lid 1 RVV 1990","130","121242","120.02","https://www.catoappeals.com/nl/feitcodes/r315b"
"R584","een voertuig parkeren waar dat niet mag (bord E1, parkeerverbod(szone))","als bestuurder een voertuig parkeren in strijd met (zone) bord E1 (parkeerverbod(szone))","62 jo. bord E1 RVV 1990","130","88975","119.86","https://www.catoappeals.com/nl/feitcodes/r584"
"R397I","Parkeren op een parkeerplaats voor vergunninghouders zonder (de juiste) vergunning (bord E9)","als bestuurder een voertuig parkeren – op een parkeerplaats voor vergunninghouders aangeduid door verkeersbord E9, zonder dat voor dat voertuig een vergunning tot parkeren op die plaats was verleend","24 lid 1 sub g RVV 1990","130","52168","120","https://www.catoappeals.com/nl/feitcodes/r397i"
"R400AE","Bij een blauwe streep parkeren zonder duidelijk zichtbare parkeerschijf achter de voorruit","als bestuurder een voertuig dubbel parkeren – dat motorvoertuig niet is voorzien van een duidelijk zichtbare achter de voorruit geplaatste parkeerschijf","25 lid 2 RVV 1990","130","34473","120","https://www.catoappeals.com/nl/feitcodes/r400ae"
"R397H","een voertuig parkeren op een plaats bestemd voor onmiddellijk laden en lossen van goederen","als bestuurder een voertuig parkeren – op een gelegenheid bestemd voor onmiddellijk laden en lossen van goederen","24 lid 1 sub f RVV 1990","130","27648","119.97","https://www.catoappeals.com/nl/feitcodes/r397h"
"R397EA","Parkeren met een ander doel dan op het bord is aangegeven","als bestuurder een voertuig parkeren – op een parkeergelegenheid, terwijl dat voertuig staat geparkeerd met een ander doel dan op het bord of op het onderbord is aangegeven","24 lid 1 sub d RVV 1990","130","18587","119.94","https://www.catoappeals.com/nl/feitcodes/r397ea"
"R406","zonder ontheffing / vergunning een voertuig laten staan of parkeren in een park, plantsoen, openbare beplanting of groenstrook","zonder ontheffing/vergunning een voertuig doen of laten staan in een park of plantsoen, op openbare beplantingen of groenstroken","Pl.V","130","16390","119.97","https://www.catoappeals.com/nl/feitcodes/r406"
"R397J","Parkeren buiten het vak op een parkeergelegenheid met één van de borden E4 tot en met E 10, E12 of E13","als bestuurder een voertuig parkeren – op een parkeergelegenheid aangeduid door één van de borden E4 tot en met E10, E12 of E13 van de bijlage I buiten de aangegeven parkeervakken","24 lid 4 RVV 1990","130","15064","119.98","https://www.catoappeals.com/nl/feitcodes/r397j"
"R402B","Parkeren op een gehandicaptenparkeerplaats zonder een duidelijk zichtbare en geldige gehandicaptenparkeerkaart","als bestuurder op een gehandicaptenparkeerplaats parkeren anders dan met een motorvoertuig op meer dan twee wielen waarin duidelijk zichtbaar is aangebracht een geldige gehandicaptenparkeerkaart","26 lid 1 RVV 1990","400","12996","378.46","https://www.catoappeals.com/nl/feitcodes/r402b"
"R397D","Een voertuig parkeren op een parkeerplaats die uitsluitend bestemd is voor andere voertuigen","als bestuurder een voertuig parkeren – op een parkeergelegenheid terwijl blijkens de aanduiding op of onder het bord, dat voertuig niet behoort tot de aangegeven categorie of groep voertuigen","24 lid 1 sub d RVV 1990","130","11812","118.65","https://www.catoappeals.com/nl/feitcodes/r397d"
"R585","een voertuig stil laten staan waar dat niet mag (bord E2, verbod stilstaan)","als bestuurder een voertuig laten stilstaan in strijd met bord E2 (verbod stilstaan)","62 jo. bord E2 RVV 1990","130","10198","119.9","https://www.catoappeals.com/nl/feitcodes/r585"
