"code","description","plain_english","family","category","level","camera_enforceable","page"
"01","Parked in a restricted street during prescribed hours","Parked on yellow lines","waiting","on_street","higher","conditional","https://www.catoappeals.com/pcn-codes/01-yellow-lines-restricted-street"
"02","Parked or loading / unloading in a restricted street where waiting and loading / unloading restrictions are in force","Loading where loading is banned","loading","on_street","higher","conditional","https://www.catoappeals.com/pcn-codes/02-loading-restricted-street"
"04","Parked in a meter bay when penalty time is indicated","Meter bay showing penalty time","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/04-meter-bay"
"05","Parked after the expiry of paid for time","Stayed after paid time ran out","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/05-82-expired-ticket"
"06","Parked without clearly displaying a valid pay & display ticket or voucher","No pay and display ticket shown","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/06-no-ticket-displayed"
"07","Parked with payment made to extend the stay beyond initial time","Topped up to stay longer","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/07-84-meter-feeding"
"08","Parked at an out-of-order meter during controlled hours","Parked at an out-of-order meter","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/08-out-of-order-meter"
"09","Parked displaying multiple pay & display tickets where prohibited","Displayed more than one ticket","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/09-multiple-tickets"
"10","Parked without clearly displaying two valid pay and display tickets when required","Displayed one ticket, not two","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/10-two-tickets-required"
"11","Parked without payment of the parking charge","Parked without paying","payment","on_street","lower","no","https://www.catoappeals.com/pcn-codes/11-73-no-payment"
"12","Parked in a residents' or shared use parking place or zone without a valid virtual permit or clearly displaying a valid physical permit or voucher or pay and display ticket issued for that place where required or without payment of the parking charge","No permit in a residents' bay","permit","on_street","higher","no","https://www.catoappeals.com/pcn-codes/12-residents-bay-no-permit"
"14","Parked in an electric vehicles' charging place during restricted hours without charging","In an EV charging bay, not charging","bay","on_street","higher","no","https://www.catoappeals.com/pcn-codes/14-71-ev-charging-bay"
"16","Parked in a permit space or zone without a valid virtual permit or clearly displaying a valid physical permit where required","No permit in a permit bay","permit","on_street","higher","no","https://www.catoappeals.com/pcn-codes/16-permit-bay-no-permit"
"18","Using a vehicle in a parking place in connection with the sale or offering or exposing for sale of goods when prohibited","Selling goods from your vehicle","bay","on_street","higher","yes","https://www.catoappeals.com/pcn-codes/18-74-selling-goods"
"19","Parked in a residents' or shared use parking place or zone with an invalid virtual permit or displaying an invalid physical permit or voucher or pay and display ticket or after the expiry of paid for time","Invalid permit in a residents' bay","permit","on_street","lower","no","https://www.catoappeals.com/pcn-codes/19-invalid-permit"
