slug,name,enforces,prefixes,source,source_url,page
barking-and-dagenham,Barking and Dagenham,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/barking-and-dagenham
bath-and-north-east-somerset-council,Bath and North East Somerset Council,bus lanes and moving traffic restrictions,BN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bath-and-north-east-somerset-council
bedford-borough-council,Bedford Borough Council,bus lanes and moving traffic restrictions,BF,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bedford-borough-council
bexley,Bexley,moving traffic restrictions,XL,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bexley
birmingham-city-council,Birmingham City Council,bus lanes and moving traffic restrictions,BM; JJ; KW; LR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/birmingham-city-council
blackburn-with-darwen-borough-council,Blackburn with Darwen Borough Council,bus lanes,DB; LY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/blackburn-with-darwen-borough-council
blackpool-council,Blackpool Council,bus lanes,BP,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/blackpool-council
bolton-council,Bolton Council,bus lanes,BO,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bolton-council
bournemouth-christchurch-and-poole-bcp,"Bournemouth, Christchurch and Poole (BCP)",bus lanes,RD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bournemouth-christchurch-and-poole-bcp
brent,Brent,bus lanes and moving traffic restrictions,,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/brent
brighton-and-hove-city-council,Brighton and Hove City Council,bus lanes and moving traffic restrictions,BH,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/brighton-and-hove-city-council
bristol-city-council,Bristol City Council,bus lanes and moving traffic restrictions,BS; OB,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bristol-city-council
bromley,Bromley,bus lanes and moving traffic restrictions,BY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bromley
buckinghamshire-council,Buckinghamshire Council,moving traffic restrictions,UK; AA; PJ,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/buckinghamshire-council
bury-metropolitan-borough-council,Bury Metropolitan Borough Council,bus lanes,BC,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/bury-metropolitan-borough-council
cambridgeshire-county-council,Cambridgeshire County Council,bus lanes and moving traffic restrictions,FC; YA,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/cambridgeshire-county-council
camden,Camden,bus lanes and moving traffic restrictions,CU,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/camden
cardiff-council,Cardiff Council,bus lanes and moving traffic restrictions,QC,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/cardiff-council
carmarthenshire-county-council,Carmarthenshire County Council,bus lanes and moving traffic restrictions,CM,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/carmarthenshire-county-council
central-bedfordshire-council,Central Bedfordshire Council,bus lanes and moving traffic restrictions,QB,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/central-bedfordshire-council
cheltenham-borough-council-on-street,Cheltenham Borough Council (On Street),bus lanes and moving traffic restrictions,GD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/cheltenham-borough-council-on-street
cheshire-west-and-chester-council,Cheshire West and Chester Council,bus lanes and moving traffic restrictions,AW,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/cheshire-west-and-chester-council
city-of-bradford-metropolitan-district-council,City of Bradford Metropolitan District Council,bus lanes,BQ; DY,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/city-of-bradford-metropolitan-district-council
city-of-doncaster-council,City of Doncaster Council,bus lanes,DN,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/city-of-doncaster-council
city-of-london,City of London,bus lanes and moving traffic restrictions,CL,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/city-of-london
city-of-york-council,City of York Council,bus lanes,YC; YR,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/city-of-york-council
cotswold-district-council,Cotswold District Council,bus lanes and moving traffic restrictions,GD; ZD,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/cotswold-district-council
coventry-city-council,Coventry City Council,bus lanes and moving traffic restrictions,CV,PATROL Authority Directory,https://www.patrol-uk.info/authority-directory,https://www.catoappeals.com/bus-lane-pcn/coventry-city-council
