slug,name,kind,caz_class,vehicles_charged,cars_charged,authority,authority_slug,official_url,page
bath-clean-air-zone,Bath Clean Air Zone,caz,C,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses",no,Bath and North East Somerset Council,bath-and-north-east-somerset-council,https://www.bathnes.gov.uk/baths-clean-air-zone,https://www.catoappeals.com/road-charges/bath-clean-air-zone
birmingham-clean-air-zone,Birmingham Clean Air Zone,caz,D,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses, cars",yes,Birmingham City Council,birmingham-city-council,https://www.birmingham.gov.uk/info/20076/pollution/1763/a_clean_air_zone_for_birmingham,https://www.catoappeals.com/road-charges/birmingham-clean-air-zone
bradford-clean-air-zone,Bradford Clean Air Zone,caz,C,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses",no,City of Bradford Metropolitan District Council,city-of-bradford-metropolitan-district-council,https://www.bradford.gov.uk/clean-air-zone/clean-air-zone/,https://www.catoappeals.com/road-charges/bradford-clean-air-zone
bristol-clean-air-zone,Bristol Clean Air Zone,caz,D,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses, cars",yes,Bristol City Council,bristol-city-council,https://www.bristol.gov.uk/residents/streets-travel/bristols-caz,https://www.catoappeals.com/road-charges/bristol-clean-air-zone
portsmouth-clean-air-zone,Portsmouth Clean Air Zone,caz,B,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles",no,Portsmouth City Council,portsmouth-city-council,https://travel.portsmouth.gov.uk/schemes/charging-clean-air-zone/,https://www.catoappeals.com/road-charges/portsmouth-clean-air-zone
sheffield-clean-air-zone,Sheffield Clean Air Zone,caz,C,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses",no,Sheffield City Council,sheffield-city-council,https://www.sheffield.gov.uk/clean-air-zone-sheffield,https://www.catoappeals.com/road-charges/sheffield-clean-air-zone
tyneside-clean-air-zone,Tyneside Clean Air Zone,caz,C,"Buses, coaches, taxis, private hire vehicles, heavy goods vehicles, vans, minibuses",no,Newcastle City Council,newcastle-city-council,https://www.breathe-cleanair.com/,https://www.catoappeals.com/road-charges/tyneside-clean-air-zone
oxford-zero-emission-zone,Oxford Zero Emission Zone,zez,,"Every vehicle that is not zero-emission, including hybrids, unless a discount or exemption applies",yes,Oxfordshire County Council,oxfordshire-county-council,https://www.oxfordshire.gov.uk/transport-and-travel/oxford-zero-emission-zone-zez,https://www.catoappeals.com/road-charges/oxford-zero-emission-zone
durham-road-user-charge,Durham's road user charge,congestion,,Vehicles entering the charged area of the historic peninsula during charging hours,yes,Durham County Council,durham-county-council,https://www.durham.gov.uk/article/3437/Durham-Road-User-Charge-Zone-congestion-charge,https://www.catoappeals.com/road-charges/durham-road-user-charge
dart-charge,Dart Charge (Dartford Crossing),crossing,,Vehicles crossing the Dartford-Thurrock river crossing during charging hours,yes,Dart Charge,,https://www.gov.uk/pay-dartford-crossing-charge,https://www.catoappeals.com/road-charges/dart-charge
mersey-gateway,Mersey Gateway and Silver Jubilee bridges (Merseyflow),crossing,,Vehicles crossing the Mersey Gateway or Silver Jubilee bridge,yes,Halton Borough Council,halton-borough-council,https://www.merseyflow.co.uk/,https://www.catoappeals.com/road-charges/mersey-gateway
london-congestion-charge,London congestion charge,london,,"Vehicles driving in central London during charging hours, unless a discount or exemption applies",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/congestion-charge,https://www.catoappeals.com/road-charges/london-congestion-charge
ulez,London Ultra Low Emission Zone (ULEZ),london,,"Vehicles that do not meet the ULEZ emissions standards, driving anywhere in the zone, every day of the year",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/ultra-low-emission-zone,https://www.catoappeals.com/road-charges/ulez
blackwall-silvertown-tunnels,Blackwall and Silvertown tunnel charge,london,,"Vehicles using the Blackwall or Silvertown tunnel between 06:00 and 22:00, every day except Christmas Day",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/silvertown-blackwall-tunnels-charge,https://www.catoappeals.com/road-charges/blackwall-silvertown-tunnels
london-congestion-charge,London congestion charge,london,,"Vehicles driving in central London during charging hours, unless a discount or exemption applies",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/congestion-charge,https://www.catoappeals.com/road-charges/london-congestion-charge
ulez,London Ultra Low Emission Zone (ULEZ),london,,"Vehicles that do not meet the ULEZ emissions standards, driving anywhere in the zone, every day of the year",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/ultra-low-emission-zone,https://www.catoappeals.com/road-charges/ulez
blackwall-silvertown-tunnels,Blackwall and Silvertown tunnel charge,london,,"Vehicles using the Blackwall or Silvertown tunnel between 06:00 and 22:00, every day except Christmas Day",yes,Transport for London,transport-for-london,https://tfl.gov.uk/modes/driving/silvertown-blackwall-tunnels-charge,https://www.catoappeals.com/road-charges/blackwall-silvertown-tunnels
